year,day collected,weight,sfmf,nest size,logface
2011.00,31,0.126,sf,27,0.894
2011.00,45,0.094,sf,27,0.991
2011.00,45,0.120,sf,27,0.481
2011.00,46,0.084,sf,27,0.000
2011.00,47,0.066,sf,27,0.316
2011.00,48,0.120,sf,27,0.962
2011.00,24,0.111,sf,26,0.745
2011.00,24,0.116,sf,26,0.295
2011.00,27,0.120,sf,26,0.728
2011.00,27,0.123,sf,26,0.639
2011.00,29,0.083,sf,26,0.789
2011.00,29,0.096,sf,26,0.879
2011.00,29,0.096,sf,26,0.811
2011.00,31,0.076,sf,26,0.764
2011.00,31,0.096,sf,26,0.856
2011.00,31,0.101,sf,26,0.928
2011.00,42,0.061,sf,26,0.295
2011.00,42,0.093,sf,26,0.294
2011.00,42,0.105,sf,26,0.805
2011.00,47,0.095,sf,26,0.319
2011.00,47,0.103,sf,26,0.911
2011.00,47,0.124,sf,26,0.305
2011.00,48,0.106,sf,26,0.308
2011.00,53,0.109,sf,26,0.000
2011.00,24,0.087,sf,25,0.765
2011.00,24,0.103,sf,25,0.306
2011.00,24,0.119,sf,25,0.883
2011.00,24,0.143,sf,25,0.715
2011.00,29,0.078,sf,25,0.705
2011.00,29,0.124,sf,25,0.973
2011.00,31,0.082,sf,25,0.795
2011.00,31,0.094,sf,25,0.884
2011.00,42,0.053,sf,25,0.740
2011.00,45,0.077,sf,25,0.307
2011.00,46,0.105,sf,25,0.000
2011.00,25,0.082,sf,24,0.976
2011.00,29,0.077,sf,24,0.847
2011.00,29,0.092,sf,24,0.872
2011.00,29,0.092,sf,24,0.854
2011.00,29,0.099,sf,24,0.320
2011.00,29,0.112,sf,24,0.820
2011.00,42,0.096,sf,24,0.000
2011.00,47,0.088,sf,24,0.469
2012.00,-6,0.108,sf,24,0.736
2012.00,1,0.102,sf,24,0.852
2012.00,4,0.080,sf,24,0.000
2011.00,24,0.084,sf,23,0.977
2011.00,24,0.091,sf,23,0.830
2011.00,24,0.091,sf,23,0.413
2011.00,24,0.103,sf,23,0.680
2011.00,24,0.118,sf,23,0.779
2011.00,25,0.074,sf,23,0.865
2011.00,25,0.096,sf,23,0.756
2011.00,25,0.103,sf,23,0.850
2011.00,25,0.133,sf,23,0.916
2011.00,27,0.083,sf,23,0.521
2011.00,27,0.109,sf,23,0.000
2011.00,27,0.115,sf,23,0.947
2011.00,27,0.128,sf,23,0.860
2011.00,29,0.121,sf,23,0.295
2011.00,31,0.074,sf,23,0.000
2011.00,31,0.086,sf,23,0.815
2011.00,31,0.106,sf,23,0.860
2011.00,46,0.088,sf,23,0.295
2011.00,48,0.117,sf,23,0.892
2012.00,-6,0.093,sf,23,0.316
2012.00,-5,0.096,sf,23,0.336
2012.00,-5,0.108,sf,23,0.671
2012.00,-1,0.094,sf,23,0.724
2011.00,24,0.095,sf,22,0.315
2011.00,27,0.077,sf,22,0.742
2011.00,27,0.094,sf,22,0.902
2011.00,27,0.114,sf,22,0.876
2011.00,27,0.126,sf,22,0.000
2011.00,29,0.086,sf,22,0.783
2011.00,29,0.092,sf,22,0.766
2011.00,29,0.099,sf,22,0.000
2011.00,31,0.092,sf,22,0.731
2011.00,42,0.069,sf,22,0.000
2011.00,42,0.087,sf,22,0.000
2011.00,53,0.090,sf,22,0.000
2012.00,-1,0.112,sf,22,0.813
2012.00,-1,0.123,sf,22,0.882
2011.00,24,0.091,sf,21,0.322
2011.00,24,0.111,sf,21,0.936
2011.00,25,0.086,sf,21,0.760
2011.00,29,0.071,sf,21,0.477
2011.00,31,0.080,sf,21,0.963
2011.00,45,0.097,sf,21,0.000
2011.00,48,0.084,sf,21,0.737
2011.00,48,0.090,sf,21,0.318
2012.00,1,0.118,sf,21,0.656
2011.00,24,0.079,sf,20,0.000
2011.00,24,0.097,sf,20,0.928
2011.00,24,0.106,sf,20,0.936
2011.00,24,0.130,sf,20,0.858
2011.00,25,0.065,sf,20,0.575
2011.00,25,0.089,sf,20,0.556
2011.00,27,0.092,sf,20,0.865
2011.00,27,0.106,sf,20,0.803
2011.00,27,0.106,sf,20,0.000
2011.00,27,0.108,sf,20,0.334
2011.00,27,0.121,sf,20,0.748
2011.00,31,0.076,sf,20,0.871
2011.00,45,0.080,sf,20,0.000
2011.00,45,0.085,sf,20,0.775
2011.00,20,0.118,sf,19,0.857
2011.00,24,0.103,sf,19,0.847
2011.00,24,0.109,sf,19,0.880
2011.00,24,0.112,sf,19,0.917
2011.00,24,0.114,sf,19,0.782
2011.00,24,0.122,sf,19,1.013
2011.00,27,0.067,sf,19,0.735
2011.00,27,0.112,sf,19,0.342
2011.00,27,0.138,sf,19,0.902
2011.00,29,0.079,sf,19,0.000
2011.00,31,0.080,sf,19,0.380
2011.00,31,0.083,sf,19,0.266
2011.00,42,0.062,sf,19,0.000
2011.00,42,0.080,sf,19,0.000
2011.00,46,0.094,sf,19,0.296
2011.00,47,0.075,sf,19,0.768
2011.00,48,0.073,sf,19,0.000
2011.00,48,0.077,sf,19,0.000
2012.00,-6,0.088,sf,19,0.931
2012.00,-6,0.117,sf,19,0.948
2012.00,-4,0.124,sf,19,0.379
2012.00,-1,0.095,sf,19,0.300
2012.00,2,0.105,sf,19,0.997
2011.00,11,0.113,sf,18,0.000
2011.00,24,0.082,sf,18,0.569
2011.00,24,0.086,sf,18,0.874
2011.00,24,0.092,sf,18,0.578
2011.00,24,0.114,sf,18,0.000
2011.00,29,0.082,sf,18,0.846
2011.00,29,0.087,sf,18,0.000
2011.00,29,0.102,sf,18,0.583
2011.00,29,0.113,sf,18,0.899
2011.00,31,0.102,sf,18,0.000
2011.00,42,0.103,sf,18,0.287
2011.00,24,0.083,sf,17,0.965
2011.00,24,0.108,sf,17,0.305
2011.00,27,0.064,sf,17,0.483
2011.00,27,0.121,sf,17,0.000
2011.00,29,0.070,sf,17,0.707
2011.00,29,0.073,sf,17,0.000
2011.00,29,0.093,sf,17,0.963
2011.00,29,0.098,sf,17,0.318
2011.00,31,0.091,sf,17,0.792
2011.00,31,0.110,sf,17,0.000
2012.00,-4,0.112,sf,17,0.950
2012.00,-1,0.097,sf,17,0.859
2012.00,1,0.112,sf,17,0.607
2012.00,2,0.121,sf,17,0.555
2012.00,4,0.110,sf,17,0.874
2011.00,16,0.098,sf,16,0.843
2011.00,20,0.079,sf,16,0.286
2011.00,24,0.096,sf,16,0.974
2011.00,27,0.077,sf,16,0.433
2011.00,27,0.080,sf,16,0.308
2011.00,27,0.118,sf,16,0.522
2011.00,29,0.105,sf,16,0.852
2011.00,31,0.073,sf,16,0.822
2012.00,-5,0.084,sf,16,0.327
2012.00,-1,0.095,sf,16,0.906
2012.00,2,0.091,sf,16,0.305
2012.00,2,0.101,sf,16,0.553
2012.00,2,0.126,sf,16,0.745
2011.00,27,0.079,sf,15,0.914
2011.00,27,0.085,sf,15,0.338
2011.00,27,0.105,sf,15,0.691
2011.00,29,0.095,sf,15,0.654
2012.00,-6,0.099,sf,15,0.934
2012.00,-1,0.067,sf,15,0.000
2012.00,-1,0.083,sf,15,0.653
2012.00,-1,0.085,sf,15,0.306
2012.00,-1,0.111,sf,15,0.547
2012.00,4,0.128,sf,15,0.440
2012.00,4,0.147,sf,15,0.000
2011.00,16,0.093,sf,14,0.981
2011.00,24,0.113,sf,14,0.860
2011.00,24,0.116,sf,14,0.845
2011.00,25,0.069,sf,14,0.669
2011.00,25,0.084,sf,14,0.000
2011.00,25,0.095,sf,14,0.315
2011.00,27,0.066,sf,14,0.578
2011.00,27,0.077,sf,14,0.730
2011.00,27,0.093,sf,14,0.000
2011.00,27,0.096,sf,14,0.304
2011.00,29,0.063,sf,14,0.800
2011.00,29,0.085,sf,14,0.679
2011.00,29,0.111,sf,14,0.798
2011.00,29,0.115,sf,14,0.666
2011.00,31,0.051,sf,14,0.791
2011.00,31,0.137,sf,14,0.849
2011.00,47,0.114,sf,14,0.971
2012.00,-6,0.121,sf,14,0.000
2012.00,-1,0.101,sf,14,0.727
2012.00,-1,0.133,sf,14,0.728
2012.00,1,0.076,sf,14,0.936
2012.00,1,0.124,sf,14,0.794
2012.00,1,0.125,sf,14,0.547
2012.00,1,0.131,sf,14,1.017
2012.00,2,0.076,sf,14,0.316
2012.00,2,0.094,sf,14,0.736
2012.00,2,0.099,sf,14,0.915
2012.00,4,0.124,sf,14,0.893
2011.00,27,0.076,sf,13,0.748
2011.00,27,0.077,sf,13,0.818
2011.00,31,0.087,sf,13,0.722
2011.00,42,0.109,sf,13,0.000
2011.00,47,0.082,sf,13,0.298
2011.00,47,0.106,sf,13,0.000
2012.00,-6,0.086,sf,13,0.000
2012.00,-1,0.091,sf,13,0.952
2012.00,-1,0.099,sf,13,0.901
2012.00,-1,0.118,sf,13,0.800
2012.00,1,0.083,sf,13,0.805
2012.00,1,0.104,sf,13,0.301
2012.00,1,0.112,sf,13,0.837
2012.00,2,0.072,sf,13,0.000
2012.00,2,0.090,sf,13,0.981
2012.00,3,0.114,sf,13,0.851
2012.00,3,0.119,sf,13,0.932
2011.00,16,0.117,sf,12,0.903
2011.00,24,0.091,sf,12,0.336
2011.00,24,0.091,sf,12,0.296
2011.00,24,0.101,sf,12,0.373
2011.00,25,0.097,sf,12,0.893
2011.00,27,0.089,sf,12,0.000
2011.00,27,0.122,sf,12,0.000
2011.00,29,0.098,sf,12,0.837
2012.00,-6,0.099,sf,12,0.486
2012.00,-4,0.116,sf,12,0.866
2012.00,-1,0.103,sf,12,1.016
2012.00,-1,0.112,sf,12,0.811
2012.00,1,0.096,sf,12,0.801
2011.00,20,0.093,sf,11,0.692
2011.00,25,0.075,sf,11,0.379
2011.00,27,0.064,sf,11,0.631
2011.00,47,0.060,sf,11,0.300
2011.00,48,0.098,sf,11,0.817
2012.00,-6,0.097,sf,11,0.984
2012.00,-5,0.097,sf,11,0.278
2012.00,-1,0.099,sf,11,0.316
2012.00,-1,0.107,sf,11,0.000
2012.00,-1,0.112,sf,11,0.884
2012.00,1,0.099,sf,11,0.797
2012.00,1,0.112,sf,11,0.937
2011.00,20,0.094,sf,10,0.529
2011.00,24,0.083,sf,10,0.802
2011.00,27,0.080,sf,10,0.869
2011.00,27,0.086,sf,10,0.000
2011.00,27,0.097,sf,10,0.897
2011.00,27,0.125,sf,10,0.735
2011.00,31,0.084,sf,10,0.884
2012.00,-6,0.079,sf,10,0.691
2012.00,-6,0.081,sf,10,0.905
2012.00,-6,0.086,sf,10,0.748
2012.00,-6,0.104,sf,10,0.952
2012.00,-4,0.100,sf,10,0.117
2012.00,-4,0.133,sf,10,0.980
2012.00,-1,0.073,sf,10,0.847
2012.00,-1,0.077,sf,10,0.000
2012.00,-1,0.099,sf,10,0.881
2012.00,-1,0.103,sf,10,0.561
2012.00,1,0.092,sf,10,0.478
2012.00,1,0.101,sf,10,0.721
2012.00,1,0.113,sf,10,0.380
2012.00,1,0.133,sf,10,0.909
2012.00,1,0.134,sf,10,0.961
2012.00,1,0.136,sf,10,0.740
2012.00,2,0.084,sf,10,0.864
2012.00,2,0.114,sf,10,0.821
2011.00,24,0.101,sf,9,0.648
2011.00,27,0.084,sf,9,0.000
2011.00,27,0.113,sf,9,1.049
2012.00,-6,0.086,sf,9,0.778
2012.00,-6,0.086,sf,9,0.725
2012.00,-6,0.087,sf,9,0.724
2012.00,-6,0.105,sf,9,0.672
2012.00,-6,0.120,sf,9,0.879
2012.00,-6,0.123,sf,9,0.774
2012.00,-4,0.073,sf,9,0.322
2012.00,-1,0.080,sf,9,0.314
2012.00,-1,0.083,sf,9,0.780
2012.00,-1,0.084,sf,9,0.850
2012.00,-1,0.108,sf,9,0.000
2012.00,2,0.124,sf,9,0.289
2012.00,3,0.118,sf,9,0.908
2012.00,4,0.083,sf,9,0.804
2011.00,12,0.090,sf,8,0.588
2011.00,24,0.103,sf,8,0.785
2011.00,27,0.061,sf,8,0.723
2011.00,27,0.103,sf,8,0.281
2011.00,29,0.083,sf,8,0.000
2012.00,-6,0.080,sf,8,0.760
2012.00,-4,0.078,sf,8,0.882
